shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
21218,38.754113,-9.168961,21,
21218,38.752813,-9.167915,22,
21218,38.750002,-9.159708,23,
21218,38.74719,-9.154625,24,
21218,38.747651,-9.151775,25,
21218,38.74999,-9.148348,26,
21218,38.752318,-9.149647,27,
21218,38.755632,-9.151441,28,
21218,38.75859,-9.154033,29,
21218,38.760667,-9.157545,30,
21219,38.742193,-9.168327,1,
21219,38.742127,-9.168798,2,
21219,38.745561,-9.169345,3,
21219,38.747564,-9.170923,4,
21219,38.750867,-9.173135,5,
21219,38.753612,-9.174539,6,
21219,38.755949,-9.175455,7,
21219,38.755759,-9.170455,8,
21219,38.755724,-9.168293,9,
21219,38.754113,-9.168961,10,
21219,38.752813,-9.167915,11,
21219,38.750002,-9.159708,12,
21219,38.74719,-9.154625,13,
21219,38.747651,-9.151775,14,
21219,38.74999,-9.148348,15,
21219,38.752318,-9.149647,16,
21219,38.755632,-9.151441,17,
21219,38.75859,-9.154033,18,
21219,38.760667,-9.157545,19,
21222,38.7477,-9.207028,1,
21222,38.745954,-9.206514,2,
21222,38.74511,-9.202743,3,
21222,38.744732,-9.199173,4,
21222,38.747316,-9.19775,5,
21222,38.749779,-9.197506,6,
21222,38.749738,-9.194272,7,
21222,38.748546,-9.191213,8,
21222,38.752893,-9.188177,9,
21222,38.757273,-9.185411,10,
21222,38.759825,-9.185002,11,
21222,38.76002,-9.182754,12,
21222,38.759763,-9.17964,13,
21222,38.761739,-9.179629,14,
21222,38.763308,-9.18061,15,
21222,38.767282,-9.181298,16,
21222,38.769045,-9.179251,17,
21222,38.770268,-9.177138,18,
21222,38.768902,-9.174897,19,
21222,38.771169,-9.173728,20,
21222,38.773418,-9.171708,21,
21222,38.773973,-9.168561,22,
21222,38.77484,-9.164974,23,
21222,38.774499,-9.163788,24,
21222,38.773466,-9.161261,25,
21222,38.774683,-9.160567,26,
21222,38.779626,-9.159792,27,
21222,38.781877,-9.158665,28,
21222,38.781617,-9.156567,29,
21222,38.77963,-9.151659,30,
21222,38.779867,-9.148383,31,
21222,38.783033,-9.147633,32,
21222,38.783925,-9.149266,33,
21222,38.78605,-9.149933,34,
21222,38.78785,-9.145983,35,
21222,38.787144,-9.142115,36,
21223,38.748546,-9.191213,1,
21223,38.752893,-9.188177,2,
21223,38.757273,-9.185411,3,
21223,38.759825,-9.185002,4,
21223,38.76002,-9.182754,5,
21223,38.759763,-9.17964,6,
21223,38.761739,-9.179629,7,
21223,38.763308,-9.18061,8,
21223,38.767282,-9.181298,9,
21223,38.769045,-9.179251,10,
21223,38.770268,-9.177138,11,
21223,38.768902,-9.174897,12,
21223,38.771169,-9.173728,13,
21223,38.773418,-9.171708,14,
21223,38.773973,-9.168561,15,
21223,38.77484,-9.164974,16,
21223,38.774499,-9.163788,17,
21223,38.773466,-9.161261,18,
21223,38.774683,-9.160567,19,
21223,38.779626,-9.159792,20,
21223,38.781877,-9.158665,21,
21223,38.781617,-9.156567,22,
21223,38.77963,-9.151659,23,
21223,38.779867,-9.148383,24,
21223,38.783033,-9.147633,25,
21223,38.783925,-9.149266,26,
21223,38.78605,-9.149933,27,
21223,38.78785,-9.145983,28,
21223,38.787144,-9.142115,29,
21225,38.728351,-9.142957,1,
21225,38.727535,-9.140802,2,
21225,38.727432,-9.138457,3,
21225,38.728017,-9.13678,4,
21225,38.730821,-9.136858,5,
21225,38.731224,-9.135711,6,
21225,38.732666,-9.134208,7,
21225,38.733227,-9.132798,8,
21225,38.732653,-9.130557,9,
21225,38.730546,-9.127489,10,
21225,38.728365,-9.124673,11,
21225,38.725037,-9.122398,12,
21225,38.722732,-9.121495,13,
21225,38.721291,-9.119838,14,
21225,38.720385,-9.118108,15,
21225,38.71678,-9.119137,16,
21225,38.713735,-9.122519,17,
21227,38.713735,-9.122519,1,
21227,38.713531,-9.123471,2,
21227,38.716375,-9.120627,3,
21227,38.718064,-9.118806,4,
21227,38.720461,-9.117811,5,
21227,38.721811,-9.119966,6,
21227,38.723521,-9.121707,7,
21227,38.725767,-9.122426,8,
21227,38.728363,-9.124347,9,
21227,38.730551,-9.127102,10,
21227,38.732109,-9.128295,11,
21227,38.732735,-9.130411,12,
21227,38.733256,-9.132478,13,
21227,38.73246,-9.134401,14,
21227,38.731387,-9.136152,15,
21227,38.730844,-9.137709,16,
21227,38.727798,-9.137629,17,
21227,38.727609,-9.139778,18,
21227,38.727769,-9.142964,19,
21227,38.728351,-9.142957,20,
21245,38.798043,-9.145343,1,
21245,38.7987,-9.14765,2,
21245,38.79595,-9.149517,3,
21245,38.7935,-9.15205,4,
21245,38.792267,-9.150767,5,
21245,38.790754,-9.150761,6,
21245,38.787852,-9.14987,7,
21245,38.78785,-9.145983,8,
21245,38.787177,-9.142515,9,
21245,38.785717,-9.142687,10,
21245,38.783577,-9.143382,11,
21245,38.781865,-9.145941,12,
21245,38.780583,-9.1482,13,
21245,38.777133,-9.146467,14,
21245,38.774761,-9.147431,15,
21245,38.774409,-9.151747,16,
21245,38.774463,-9.156902,17,
21245,38.774243,-9.15989,18,
21245,38.772642,-9.161176,19,
21245,38.770242,-9.159899,20,
21245,38.767652,-9.158362,21,
21245,38.765269,-9.15735,22,
21245,38.760937,-9.157327,23,
21245,38.757625,-9.155281,24,
21245,38.754616,-9.151889,25,
21245,38.757033,-9.144449,26,
21245,38.758025,-9.141312,27,
21245,38.756344,-9.139997,28,
21245,38.754295,-9.138891,29,
21245,38.752467,-9.137913,30,
21245,38.7489,-9.13674,31,
21245,38.748643,-9.132049,32,
21245,38.747994,-9.131192,33,
21245,38.745194,-9.131549,34,
21245,38.743292,-9.132833,35,
21245,38.740514,-9.133637,36,
21245,38.736944,-9.133994,37,
21245,38.734524,-9.135022,38,
21260,38.779906,-9.102483,1,
